,date,default,isPartial,delta
20705,2021-03-14 15:00:00,46,False,0.06976744186046512
20706,2021-03-14 16:00:00,44,False,-0.043478260869565216
20707,2021-03-14 17:00:00,44,False,0.0
20708,2021-03-14 18:00:00,45,False,0.022727272727272728
20709,2021-03-14 19:00:00,45,False,0.0
20710,2021-03-14 20:00:00,46,False,0.022222222222222223
20711,2021-03-14 21:00:00,48,False,0.043478260869565216
20712,2021-03-14 22:00:00,51,False,0.0625
20713,2021-03-14 23:00:00,56,False,0.09803921568627451
20714,2021-03-15 00:00:00,57,False,0.017857142857142856
20715,2021-03-15 01:00:00,61,False,0.07017543859649122
20716,2021-03-15 02:00:00,68,False,0.11475409836065574
20717,2021-03-15 03:00:00,76,False,0.11764705882352941
20718,2021-03-15 04:00:00,78,False,0.02631578947368421
20719,2021-03-15 05:00:00,73,False,-0.0641025641025641
20720,2021-03-15 06:00:00,70,False,-0.0410958904109589
20721,2021-03-15 07:00:00,68,False,-0.02857142857142857
20722,2021-03-15 08:00:00,71,False,0.04411764705882353
20723,2021-03-15 09:00:00,73,False,0.028169014084507043
20724,2021-03-15 10:00:00,72,False,-0.0136986301369863
20725,2021-03-15 11:00:00,63,False,-0.125
20726,2021-03-15 12:00:00,65,False,0.031746031746031744
20727,2021-03-15 13:00:00,69,False,0.06153846153846154
20728,2021-03-15 14:00:00,71,False,0.028985507246376812
20729,2021-03-15 15:00:00,72,False,0.014084507042253521
20730,2021-03-15 16:00:00,66,False,-0.08333333333333333
20731,2021-03-15 17:00:00,64,False,-0.030303030303030304
20732,2021-03-15 18:00:00,64,False,0.0
20733,2021-03-15 19:00:00,63,False,-0.015625
20734,2021-03-15 20:00:00,60,False,-0.047619047619047616
20735,2021-03-15 21:00:00,42,False,-0.3
20736,2021-03-15 22:00:00,59,False,0.40476190476190477
20737,2021-03-15 23:00:00,57,False,-0.03389830508474576
20738,2021-03-16 00:00:00,61,False,0.07017543859649122
20739,2021-03-16 01:00:00,65,False,0.06557377049180328
20740,2021-03-16 02:00:00,71,False,0.09230769230769231
20741,2021-03-16 03:00:00,70,False,-0.014084507042253521
