,date,hedge fund,isPartial,delta
235,2015-01-10 18:00:00,34,False,0.13333333333333333
236,2015-01-10 19:00:00,30,False,-0.11764705882352941
237,2015-01-10 20:00:00,35,False,0.16666666666666666
238,2015-01-10 21:00:00,32,False,-0.08571428571428572
239,2015-01-10 22:00:00,37,False,0.15625
240,2015-01-10 23:00:00,36,False,-0.02702702702702703
241,2015-01-11 00:00:00,38,False,0.05555555555555555
242,2015-01-11 01:00:00,34,False,-0.10526315789473684
243,2015-01-11 02:00:00,34,False,0.0
244,2015-01-11 03:00:00,43,False,0.2647058823529412
245,2015-01-11 04:00:00,43,False,0.0
246,2015-01-11 05:00:00,37,False,-0.13953488372093023
247,2015-01-11 06:00:00,34,False,-0.08108108108108109
248,2015-01-11 07:00:00,33,False,-0.029411764705882353
249,2015-01-11 08:00:00,27,False,-0.18181818181818182
250,2015-01-11 09:00:00,25,False,-0.07407407407407407
251,2015-01-11 10:00:00,26,False,0.04
252,2015-01-11 11:00:00,24,False,-0.07692307692307693
253,2015-01-11 12:00:00,17,False,-0.2916666666666667
254,2015-01-11 13:00:00,21,False,0.23529411764705882
255,2015-01-11 14:00:00,26,False,0.23809523809523808
256,2015-01-11 15:00:00,23,False,-0.11538461538461539
257,2015-01-11 16:00:00,23,False,0.0
258,2015-01-11 17:00:00,25,False,0.08695652173913043
259,2015-01-11 18:00:00,30,False,0.2
260,2015-01-11 19:00:00,30,False,0.0
261,2015-01-11 20:00:00,32,False,0.06666666666666667
262,2015-01-11 21:00:00,30,False,-0.0625
263,2015-01-11 22:00:00,38,False,0.26666666666666666
264,2015-01-11 23:00:00,41,False,0.07894736842105263
265,2015-01-12 00:00:00,43,False,0.04878048780487805
266,2015-01-12 01:00:00,46,False,0.06976744186046512
267,2015-01-12 02:00:00,43,False,-0.06521739130434782
268,2015-01-12 03:00:00,44,False,0.023255813953488372
269,2015-01-12 04:00:00,43,False,-0.022727272727272728
270,2015-01-12 05:00:00,40,False,-0.06976744186046512
271,2015-01-12 06:00:00,30,False,-0.25
272,2015-01-12 07:00:00,29,False,-0.03333333333333333
273,2015-01-12 08:00:00,28,False,-0.034482758620689655
274,2015-01-12 09:00:00,31,False,0.10714285714285714
275,2015-01-12 10:00:00,27,False,-0.12903225806451613
276,2015-01-12 11:00:00,28,False,0.037037037037037035
277,2015-01-12 12:00:00,27,False,-0.03571428571428571
278,2015-01-12 13:00:00,33,False,0.2222222222222222
279,2015-01-12 14:00:00,36,False,0.09090909090909091
280,2015-01-12 15:00:00,45,False,0.25
281,2015-01-12 16:00:00,42,False,-0.06666666666666667
282,2015-01-12 17:00:00,36,False,-0.14285714285714285
283,2015-01-12 18:00:00,40,False,0.1111111111111111
284,2015-01-12 19:00:00,44,False,0.1
285,2015-01-12 20:00:00,46,False,0.045454545454545456
286,2015-01-12 21:00:00,54,False,0.17391304347826086
287,2015-01-12 22:00:00,47,False,-0.12962962962962962
288,2015-01-12 23:00:00,43,False,-0.0851063829787234
289,2015-01-13 00:00:00,43,False,0.0
290,2015-01-13 01:00:00,40,False,-0.06976744186046512
291,2015-01-13 02:00:00,39,False,-0.025
292,2015-01-13 03:00:00,37,False,-0.05128205128205128
293,2015-01-13 04:00:00,36,False,-0.02702702702702703
294,2015-01-13 05:00:00,33,False,-0.08333333333333333
295,2015-01-13 06:00:00,31,False,-0.06060606060606061
296,2015-01-13 07:00:00,30,False,-0.03225806451612903
297,2015-01-13 08:00:00,30,False,0.0
298,2015-01-13 09:00:00,33,False,0.1
299,2015-01-13 10:00:00,28,False,-0.15151515151515152
300,2015-01-13 11:00:00,27,False,-0.03571428571428571
301,2015-01-13 12:00:00,26,False,-0.037037037037037035
302,2015-01-13 13:00:00,29,False,0.11538461538461539
303,2015-01-13 14:00:00,38,False,0.3103448275862069
304,2015-01-13 15:00:00,40,False,0.05263157894736842
305,2015-01-13 16:00:00,46,False,0.15
306,2015-01-13 17:00:00,38,False,-0.17391304347826086
307,2015-01-13 18:00:00,37,False,-0.02631578947368421
308,2015-01-13 19:00:00,39,False,0.05405405405405406
309,2015-01-13 20:00:00,43,False,0.10256410256410256
310,2015-01-13 21:00:00,45,False,0.046511627906976744
311,2015-01-13 22:00:00,44,False,-0.022222222222222223
312,2015-01-13 23:00:00,40,False,-0.09090909090909091
313,2015-01-14 00:00:00,54,False,0.35
314,2015-01-14 01:00:00,45,False,-0.16666666666666666
315,2015-01-14 02:00:00,37,False,-0.17777777777777778
316,2015-01-14 03:00:00,41,False,0.10810810810810811
317,2015-01-14 04:00:00,36,False,-0.12195121951219512
318,2015-01-14 05:00:00,32,False,-0.1111111111111111
319,2015-01-14 06:00:00,33,False,0.03125
320,2015-01-14 07:00:00,28,False,-0.15151515151515152
321,2015-01-14 08:00:00,25,False,-0.10714285714285714
322,2015-01-14 09:00:00,28,False,0.12
323,2015-01-14 10:00:00,28,False,0.0
324,2015-01-14 11:00:00,25,False,-0.10714285714285714
325,2015-01-14 12:00:00,24,False,-0.04
326,2015-01-14 13:00:00,30,False,0.25
327,2015-01-14 14:00:00,36,False,0.2
328,2015-01-14 15:00:00,38,False,0.05555555555555555
329,2015-01-14 16:00:00,39,False,0.02631578947368421
330,2015-01-14 17:00:00,40,False,0.02564102564102564
331,2015-01-14 18:00:00,34,False,-0.15
332,2015-01-14 19:00:00,37,False,0.08823529411764706
333,2015-01-14 20:00:00,39,False,0.05405405405405406
334,2015-01-14 21:00:00,42,False,0.07692307692307693
335,2015-01-14 22:00:00,42,False,0.0
336,2015-01-14 23:00:00,39,False,-0.07142857142857142
337,2015-01-15 00:00:00,40,False,0.02564102564102564
338,2015-01-15 00:00:00,60,False,0.5
339,2015-01-15 01:00:00,59,False,-0.016666666666666666
340,2015-01-15 02:00:00,63,False,0.06779661016949153
341,2015-01-15 03:00:00,69,False,0.09523809523809523
342,2015-01-15 04:00:00,55,False,-0.2028985507246377
343,2015-01-15 05:00:00,52,False,-0.05454545454545454
344,2015-01-15 06:00:00,35,False,-0.3269230769230769
345,2015-01-15 07:00:00,40,False,0.14285714285714285
346,2015-01-15 08:00:00,33,False,-0.175
347,2015-01-15 09:00:00,42,False,0.2727272727272727
348,2015-01-15 10:00:00,39,False,-0.07142857142857142
349,2015-01-15 11:00:00,37,False,-0.05128205128205128
350,2015-01-15 12:00:00,43,False,0.16216216216216217
351,2015-01-15 13:00:00,42,False,-0.023255813953488372
352,2015-01-15 14:00:00,64,False,0.5238095238095238
353,2015-01-15 15:00:00,79,False,0.234375
354,2015-01-15 16:00:00,79,False,0.0
